07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:06 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:07 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:08 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 2.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:09 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:10 MQTT-NODO: tp-final/Hanes/ESP32 0.
